,abstract,lead_paragraph,headline,keywords,sentiment
84,"After months of talks, Sebastian Kurz’s conservatives and progressive Greens agreed on a coalition that could be a harbinger for the rest of Europe.","BERLIN — Seven months after his coalition with the far right collapsed in a spectacular scandal, Sebastian Kurz, Austria’s former conservative chancellor, stood before television cameras on Thursday and announced a new government — this time with the progressive Greens. ",Austria’s Kurz to Govern With Green Party in Unlikely Pairing,"['Austria', 'Kurz, Sebastian (1986- )', ""Austrian People's Party"", 'Elections', 'Legislatures and Parliaments', 'Politics and Government', 'Green Party (Austria)']",-0.048969815934360963
85,"Anna Wiener’s memoir captures the dreams, delusions and general absurdity of Silicon Valley in indelible detail.",UNCANNY VALLEYA MemoirBy Anna Wiener,Data Miner,"['Books and Literature', 'Uncanny Valley: A Memoir (Book)', 'Wiener, Anna', 'Computers and the Internet', 'Start-ups', 'Workplace Environment']",0.0007849541316766503
86,"It’s no coincidence that our politics and our mental health have declined so rapidly, at the same time.",Everyone has his or her own definition of a political crisis. Mine is when our collective mental health starts having a profound effect on our politics — and vice versa.,Why Is America So Depressed?,"['Mental Health and Disorders', 'Anxiety and Stress', 'Depression (Mental)', 'United States', 'United States Politics and Government']",-0.4347836982882221
87,"The owner of Steve McQueen’s “hero car” figures the price could approach $5 million, or at least far more than the $3,500 his father paid in 1974.","Steve McQueen piloted it in the movie “Bullitt,” and for the next 50 years it was mostly a ghost. Now it’s heading to auction, and the speedy dark-green 1968 Ford Mustang fastback is expected to break records when it crosses the block next week at a Mecum event in  Florida.",Chase Is Over: ‘Bullitt’ Car Heads to Auction,"['Bullitt (Movie)', 'McQueen, Steve', 'Ford Motor Co', 'Mecum Auctions', 'Automobiles', 'Antique and Classic Cars', 'Auctions']",0.09788270450742695
88,"The commander helped direct wars in Iraq, Syria, Lebanon and Yemen, and he became the face of Iran’s efforts to build a regional bloc of Shiite power.","He changed the shape of the Syrian civil war and tightened Iran’s grip on Iraq. He was behind hundreds of American deaths in Iraq and waves of militia attacks against Israel. And for two decades, his every move lit up the communications networks — and fed the obsessions — of intelligence operatives across the Middle East. ",A Mastermind Of Iran’s Clout In the Mideast,"['Suleimani, Qassim', 'Targeted Killings', 'Quds Force', 'Islamic Revolutionary Guards Corps', 'Iran', 'Terrorism', 'Defense and Military Forces', 'Iraq War (2003-11)', 'Shiite Muslims', 'Espionage and Intelligence Services', 'Hezbollah', 'Mugniyah, Imad', 'Islamic State in Iraq and Syria (ISIS)', 'Iraq', 'Lebanon', 'Syria', 'Israel', 'Deaths (Obituaries)', 'Middle East']",0.056084299912520674
89,"Suleimani was planning attacks on Americans across the region, leading to an airstrike in Baghdad, the Pentagon statement said. Iran’s supreme leader called for vengeance.","WEST PALM BEACH, Fla. — Iran’s top security and intelligence commander was killed early Friday in a drone strike at Baghdad International Airport that was authorized by President Trump, American officials said.",U.S. Strike in Iraq Kills Commander Of Iranian Force,"['Iran', 'Suleimani, Qassim', 'Defense and Military Forces', 'Quds Force', 'Islamic Revolutionary Guards Corps', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Drones (Pilotless Planes)', 'Trump, Donald J', 'Baghdad International Airport (Iraq)', 'Iraq', 'Popular Mobilization Forces (Iraq)']",-0.3462362716890566
91,"Some state regulators are scrutinizing nonprofit Christian cost-sharing ministries that enroll Americans struggling to pay for medical care, but aren’t legally bound to cover their members’ claims.",Eight-year-old Blake Collie was at the swimming pool when he got a frightening headache. His parents rushed him to the emergency room only to learn he had a brain aneurysm. Blake spent nearly two months in the hospital. ,When a Health Plan Tells You to ‘Just Trust God’,"['Health Insurance and Managed Care', 'Christians and Christianity', 'Nonprofit Organizations', 'Samaritan Ministries International', 'MultiPlan Inc', 'Aliera Companies Inc', 'Trinity Healthshare Inc', 'Christian Care Ministry (Medi-Share)', 'Liberty HealthShare', 'Religion-State Relations', 'Regulation and Deregulation of Industry', 'Patient Protection and Affordable Care Act (2010)', 'United States Politics and Government', 'your-feed-healthcare']",0.5948512439398658
92,"Fossils that some scientists thought to be a separate species were likely adolescent Tyrannosaurus rexes, a new study says.","A full-grown T. rex was probably the most fearsome sight of the Cretaceous: It stood two stories tall, stretched the length of a city bus and boasted jaws that could crush the bones of a triceratops.",Terrible Teens: When the T. Rex Was A Juvenile Delinquent,"['Dinosaurs', 'Paleontology', 'Bones', 'ANATOMY AND PHYSIOLOGY', 'Research', 'Science Advances (Journal)', 'Woodward, Holly', 'Oklahoma State University', 'your-feed-science']",-0.7775159754601635
94,"The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.","[Race affects our lives in countless ways. To read more provocative stories on race from The Times, sign up for our Race/Related newsletter here.]","A Racial Divide on Campus, Visible in an Instant","['University of Wisconsin-Madison', 'Madison (Wis)', 'Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Video Recordings, Downloads and Streaming']",0.12428744412689322
95,"In a wide-ranging interview, the director talks about his own mortality, the treatment of women in his movies, and moviemaking in the Netflix age.","Martin Scorsese is the most alive he’s been in his work in a long time, brimming with renewed passion for filmmaking and invigorated by the reception that has greeted his latest gangland magnum opus, “The Irishman.” ",Scorsese Knows How It Ends,"['Movies', 'Scorsese, Martin', 'The Irishman (Movie)', 'Netflix Inc']",0.27728380801559704
96,"As record fires rage, the country’s leaders seem intent on sending it to its doom.","BRUNY ISLAND, Australia — Australia today is ground zero for the climate catastrophe. Its glorious Great Barrier Reef is dying, its world-heritage rain forests are burning, its giant kelp forests have largely vanished, numerous towns have run out of water or are about to, and now the vast continent is burning on a scale never before seen. ",Australia Is Committing Climate Suicide,"['Australia', 'Wildfires', 'Politics and Government', 'Morrison, Scott (1968- )', 'Global Warming', 'Coal', 'Mines and Mining', 'Labor Party (Australia)', 'Palmer, Clive', 'Canberra (Australia)', 'Great Barrier Reef (Australia)', 'New South Wales (Australia)', 'Victoria (Australia)']",-0.28942112643002427
98,"The case could end the Affordable Care Act, but keeping the issue in the public eye could help them politically.",A group of Democratic state officials and the Democratic-led House of Representatives on Friday asked the Supreme Court to take up a case with the potential to wipe away the entire Affordable Care Act.,Democrats Ask Justices for Quick Ruling on A.C.A.,"['Patient Protection and Affordable Care Act (2010)', 'United States Politics and Government', 'Health Insurance and Managed Care', 'Law and Legislation', 'Presidential Election of 2020']",0.36242751990362754
99,"A party that lost many of its working-class voters in last month’s election may turn, unexpectedly, to a London lawyer to be its next leader, an early poll shows.","LONDON — After Britain’s Labour Party suffered its worst defeat since 1935 in last month’s election, a chorus of critics faulted the party for losing touch with its working-class roots in the industrial north and becoming too closely identified with the left-wing, London-centered politics of its leader, Jeremy Corbyn.",Unlikely Favorite to Win Top Labour Post: A Knighted Oxford Alumnus,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government', 'Starmer, Keir', 'Great Britain']",0.2587129876039792
101,The Ducks managed to win with only 204 yards in total offense — the fewest by a team in the Rose Bowl since 1979.,"PASADENA, Calif. — If it was not exactly a decisive moment in the 106th Rose Bowl game, it was nevertheless a moment for which these Oregon Ducks had been built. ","Ducks Prevail, but Their Shift to a More Bruising Style Takes Its Lumps","['Football (College)', 'Rose Bowl (Football Game)', 'Bowl Games', 'Herbert, Justin (1998- )', 'University of Oregon', 'University of Wisconsin-Madison']",-0.06024594719285925
105,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.","A lawsuit that accused the actor Kevin Spacey of sexually assaulting a massage therapist in 2016 ended after the accuser’s estate dropped the case, court documents filed on Monday show.",Man’s Estate Drops Lawsuit Accusing Actor of Sex Assault,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'ACADEMY AWARDS (OSCARS)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)', 'Hollywood Reporter', 'Netflix Inc', 'Spacey, Kevin', 'California', 'Los Angeles (Calif)', 'Malibu (Calif)']",-0.08087390211260767
106,Readers offer different views of those who earn money by rummaging through trash bags to collect recyclables.,To the Editor:,Can Collectors: Nuisance or Public Service?,"['Recycling of Waste Materials', 'New York City']",-0.19144660227658444
